metric_id,metric_name,observable,description,dam_id,desired_trend,slope,slope_norm,capital - primary,is_key
33188582a_metr,Greenhouse gas emissions from agriculture [Millions t CO2 eq.],Greenhouse gas emissions from agriculture,"Methane, carbon dioxide and nitrous oxide emissions linked to domestic agricultural production",33188582,down,-0.004145878235359366,0.004145878235359366,Natural,False
33188571a_metr,Poverty rate by sex [Women],Poverty rate by sex,Share of people affected by income poverty in the permanent resident population living in private households - In percent,33188571,down,-0.0032672764877043872,0.0032672764877043872,Social,True
33188723b_metr,Jobs in innovative economic activities by sex [Men],Jobs in innovative economic activities by sex,Share of jobs in innovative economic activities in total of secondary and tertiary sector jobs in full-time equivalents - In percent,33188723,up,0.0029734944092970478,0.0029734944092970478,Human,False
33188696a_metr,Electricity production from renewable energies [GWh],Electricity production from renewable energies,Electricity production from hydropower plants,33188696,up,0.002727847048082512,0.002727847048082512,Natural,False
28325075a_metr,Greenhouse gas footprint [Millions t CO2 eq],Greenhouse gas footprint,Greenhouse gas emissions caused by the consumption of goods and services in Switzerland,28325075,down,-0.0023822993179455163,0.0023822993179455163,Natural,True
33188932a_metr,Corruption perceptions index [Data],Corruption perceptions index,Switzerland’s ranking in the Global Corruption Perception Index,33188932,down,-0.002331002331001464,0.002331002331001464,Social,False
33188640b_metr,Participation in further education by nationality [Foreign nationals],Participation in further education by nationality,Share of the permanent resident population aged 25 to 74 participating in non-formal continuing education activities - In percent,33188640,up,0.0020252635297895484,0.0020252635297895484,Human,False
33188899b_metr,Biocoenosis diversity in meadows and pastures [Mosses],Biocoenosis diversity in meadows and pastures,Index¹ of 0 (uniform biocoenosis) to 100 (diverse biocoenosis) based on all paired comparisons of the sampling areas,33188899,up,0.001909268636729389,0.001909268636729389,Natural,False
33188720a_metr,Jobs in innovative economic activities [In percent],Jobs in innovative economic activities,Share of jobs in innovative economic activities in total of secondary and tertiary sector jobs in full-time equivalents,33188720,up,0.0013255381301644695,0.0013255381301644695,Human,False
33188969a_metr,NEET rate by sex [Men],NEET rate by sex,Percentage of not employed young people aged 15 to 29 who are not in education or training - In percent,33188969,down,-0.000956163175035202,0.000956163175035202,Human,True
33188726a_metr,Material footprint [Million tons],Material footprint,Raw material consumption (RMC),33188726,down,-0.0008830370874450928,0.0008830370874450928,Human,False
33188899a_metr,Biocoenosis diversity in meadows and pastures [Plants],Biocoenosis diversity in meadows and pastures,Index¹ of 0 (uniform biocoenosis) to 100 (diverse biocoenosis) based on all paired comparisons of the sampling areas,33188899,up,0.0002852091353248694,0.0002852091353248694,Natural,False
33188723a_metr,Jobs in innovative economic activities by sex [Women],Jobs in innovative economic activities by sex,Share of jobs in innovative economic activities in total of secondary and tertiary sector jobs in full-time equivalents - In percent,33188723,up,-0.0008616089218246934,-0.0008616089218246934,Human,False
33188898a_metr,Populations of breeding birds [Index 1990 = 100],Populations of breeding birds,Trend in breeding bird populations from the Red List,33188898,up,-0.0008886432834002389,-0.0008886432834002389,Natural,True
33188530a_metr,Poverty rate [In percent],Poverty rate,Share of people affected by income poverty in the permanent resident population living in private households,33188530,down,0.0019284022676515301,-0.0019284022676515301,Social,True
33188670b_metr,Energy dependency [Import surplus of energy carriers and nuclear fuels],Energy dependency,Domestic energy production from primary energy carriers and imports (import surplus of energy carriers and nuclear fuels) - Thousand terajoules,33188670,down,0.00226098352102599,-0.00226098352102599,Economic,False
33188571b_metr,Poverty rate by sex [Men],Poverty rate by sex,Share of people affected by income poverty in the permanent resident population living in private households - In percent,33188571,down,0.00868342852049955,-0.00868342852049955,Social,True
33188792b_metr,Poverty rate by migration status [W: Population without a migration background],Poverty rate by migration status,Poverty rate of the permanent resident population aged 16 and older - In percent,33188792,down,0.008740898124160647,-0.008740898124160647,Human,False
33188637a_metr,Participation in further education by sex [Women],Participation in further education by sex,Share of the permanent resident population aged 25 to 74 participating in non-formal continuing education activities - In percent,33188637,up,-0.012218842300597534,-0.012218842300597534,Human,False
33188653b_metr,Domestic violence by sex [Men],Domestic violence by sex,Number of victims of serious physical domestic violence recorded by the police,33188653,down,0.012619047619048647,-0.012619047619048647,Social,True
33188644a_metr,Domestic violence [Data],Domestic violence,Number of victims of serious physical domestic violence recorded by the police,33188644,down,0.01322188449848101,-0.01322188449848101,Social,True
33188653a_metr,Domestic violence by sex [Women],Domestic violence by sex,Number of victims of serious physical domestic violence recorded by the police,33188653,down,0.01350446428571492,-0.01350446428571492,Social,True
33188910a_metr,Violent offences  [Data],Violent offences ,Number of victims for completed serious violent offences¹ known to the police,33188910,down,0.014155174722186682,-0.014155174722186682,Social,True
33188899c_metr,Biocoenosis diversity in meadows and pastures [Molluscs],Biocoenosis diversity in meadows and pastures,Index¹ of 0 (uniform biocoenosis) to 100 (diverse biocoenosis) based on all paired comparisons of the sampling areas,33188899,up,-0.014214217604587371,-0.014214217604587371,Natural,False
33188633a_metr,Participation in continuing education [In percent],Participation in continuing education,Share of the permanent resident population aged 25 to 74 participating in non-formal continuing education activities,33188633,up,-0.014228867366489257,-0.014228867366489257,Human,False
33188795a_metr,Poverty rate by migration status and sex [Population without a migration background],Poverty rate by migration status and sex,Poverty rate of the permanent resident population aged 16 and older - In percent,33188795,down,0.015867597542341082,-0.015867597542341082,Human,False
33188760a_metr,Youth unemployment by sex [Women],Youth unemployment by sex,Proportion of unemployed persons based on ILO definition in economically active population of 15–24 year-olds (in 2nd quarter) - In percent,33188760,down,0.01597420247959451,-0.01597420247959451,Human,False
33188637b_metr,Participation in further education by sex [Men],Participation in further education by sex,Share of the permanent resident population aged 25 to 74 participating in non-formal continuing education activities - In percent,33188637,up,-0.01616020269794039,-0.01616020269794039,Human,False
33188640a_metr,Participation in further education by nationality [Swiss nationals],Participation in further education by nationality,Share of the permanent resident population aged 25 to 74 participating in non-formal continuing education activities - In percent,33188640,up,-0.017683535617199455,-0.017683535617199455,Human,False
23567403a_metr,Invasive alien species [Data],Invasive alien species,Number of invasive alien species known,23567403,down,0.017770541042354645,-0.017770541042354645,Natural,False
33188758a_metr,Youth unemployment [In percent],Youth unemployment,Proportion of unemployed persons based on ILO definition in economically active population of 15–24 year-olds (in 2nd quarter),33188758,down,0.017901391884636877,-0.017901391884636877,Human,False
33188760b_metr,Youth unemployment by sex [Men],Youth unemployment by sex,Proportion of unemployed persons based on ILO definition in economically active population of 15–24 year-olds (in 2nd quarter) - In percent,33188760,down,0.01999237245448936,-0.01999237245448936,Human,False
29946646a_metr,Participation of disabled persons in the labour market [In percent],Participation of disabled persons in the labour market,Percentage of employed persons in the severely disabled resident population aged 16 to 64 living in a private household,29946646,up,-0.02024093703886509,-0.02024093703886509,Human,False
33188914a_metr,Violent offences by sex [Women],Violent offences by sex,Number of victims for completed serious violent offences¹ known to the police,33188914,down,0.02512646701740428,-0.02512646701740428,Social,True
33188856a_metr,Total municipal waste generation [Million tonnes],Total municipal waste generation,Incl. recycling,33188856,down,0.028027615251989463,-0.028027615251989463,Natural,True
33188792d_metr,Poverty rate by migration status [W: Population with a migration background],Poverty rate by migration status,Poverty rate of the permanent resident population aged 16 and older - In percent,33188792,down,0.02808907345125967,-0.02808907345125967,Human,False
33188792a_metr,Poverty rate by migration status [M: Population without a migration background],Poverty rate by migration status,Poverty rate of the permanent resident population aged 16 and older - In percent,33188792,down,0.028761618662029573,-0.028761618662029573,Human,False
33188795b_metr,Poverty rate by migration status and sex [Population with a migration background],Poverty rate by migration status and sex,Poverty rate of the permanent resident population aged 16 and older - In percent,33188795,down,0.030594185826992356,-0.030594185826992356,Human,False
33188792c_metr,Poverty rate by migration status [M: Population with a migration background],Poverty rate by migration status,Poverty rate of the permanent resident population aged 16 and older - In percent,33188792,down,0.0334208471623849,-0.0334208471623849,Human,False
33188763a_metr,Congestion on Swiss motorway network [Hours],Congestion on Swiss motorway network,Congestion caused by excess traffic,33188763,down,1.3469753298291303,-1.3469753298291303,Economic,False
