,count,metric_name,metric_description,capital - primary,is_key
33188823a_metr,24,Material footprint per person [Tonnes per person],Raw material consumption (RMC) per person¹,Natural,False
33188726a_metr,24,Material footprint [Million tons],Raw material consumption (RMC),Human,False
29946667a_metr,24,Employment in environmental sector [In percent],Share in total employment,Economic,False
33188757a_metr,24,Material intensity [Index 2000 = 100],Raw material consumption (RMC) to Gross Domestic Product ratio,Natural,True
28325038a_metr,23,Intensity of the greenhouse gas footprint [Index 2000 = 100],Greenhouse gas footprint to final domestic demand of goods and services ratio¹,Natural,False
28325089a_metr,23,Greenhouse gas footprint per person [t CO2 eq],Greenhouse gas emissions caused by the consumption of goods and services in Switzerland,Natural,True
33188793a_metr,23,Distribution of equivalised primary income (S80/S20) [Data],People living in working households,Economic,False
33188762a_metr,23,Tourism employment [Data],In thousands full-time equivalent,Human,False
33188747a_metr,23,"Tourism gross value added [CHF millions, at current prices]",,Economic,False
33188870a_metr,23,Petroleum tax relief [In percent],Percentage of reimbursement in net petroleum tax revenues,Economic,False
28325075a_metr,23,Greenhouse gas footprint [Millions t CO2 eq],Greenhouse gas emissions caused by the consumption of goods and services in Switzerland,Natural,True
28325090a_metr,23,Greenhouse gas footprint of food per person [t CO2 eq],Greenhouse gas emissions from food consumption in Switzerland,Natural,True
33188784a_metr,23,Distribution of equivalised disposable income (S80/S20) [Data],People living in working households,Economic,True
33188732b_metr,22,Accidents at work [Secondary sector],Recognised cases per 1000 full-time employees,Human,False
33188732a_metr,22,Accidents at work [Primary sector],Recognised cases per 1000 full-time employees,Human,False
33188732c_metr,22,Accidents at work [Tertiary sector],Recognised cases per 1000 full-time employees,Human,False
33188899a_metr,20,Biocoenosis diversity in meadows and pastures [Plants],Index¹ of 0 (uniform biocoenosis) to 100 (diverse biocoenosis) based on all paired comparisons of the sampling areas,Natural,False
33188899b_metr,20,Biocoenosis diversity in meadows and pastures [Mosses],Index¹ of 0 (uniform biocoenosis) to 100 (diverse biocoenosis) based on all paired comparisons of the sampling areas,Natural,False
33188899c_metr,19,Biocoenosis diversity in meadows and pastures [Molluscs],Index¹ of 0 (uniform biocoenosis) to 100 (diverse biocoenosis) based on all paired comparisons of the sampling areas,Natural,False
33188938a_metr,19,Direct investments in developing countries [Middle-income developing countries],"Switzerland's capital exports, by countries income categories¹ - CHF millions",Economic,False
33188938b_metr,19,Direct investments in developing countries [Least developed countries],"Switzerland's capital exports, by countries income categories¹ - CHF millions",Economic,False
33188546a_metr,18,Disparities in the financial capacities of the cantons [Data],Standard deviation of indices of canton resources (before equalisation),Economic,False
33188571a_metr,16,Poverty rate by sex [Women],Share of people affected by income poverty in the permanent resident population living in private households - In percent,Social,True
33188551a_metr,16,Poverty of employed persons [In percent],Poverty rates among employed persons,Human,False
33188617a_metr,16,Foregoing necessary medical care for financial reasons [In percent],Percentage of the population at risk of poverty aged 16 and over,Human,False
33188530a_metr,16,Poverty rate [In percent],Share of people affected by income poverty in the permanent resident population living in private households,Social,True
33188571b_metr,16,Poverty rate by sex [Men],Share of people affected by income poverty in the permanent resident population living in private households - In percent,Social,True
33707214b_metr,15,Participation in elections and federal popular votes [Popular votes],In percent,Social,False
33188644a_metr,15,Domestic violence [Data],Number of victims of serious physical domestic violence recorded by the police,Social,True
33188653a_metr,15,Domestic violence by sex [Women],Number of victims of serious physical domestic violence recorded by the police,Social,True
33188653b_metr,15,Domestic violence by sex [Men],Number of victims of serious physical domestic violence recorded by the police,Social,True
33188910a_metr,15,Violent offences  [Data],Number of victims for completed serious violent offences¹ known to the police,Social,True
33188914b_metr,15,Violent offences by sex [Men],Number of victims for completed serious violent offences¹ known to the police,Social,True
33188945a_metr,15,Wage gap between women and men [In percent],"Wage gap¹ between women and men as a percentage of men's monthly gross wage, private sector",Social,True
33188914a_metr,15,Violent offences by sex [Women],Number of victims for completed serious violent offences¹ known to the police,Social,True
33188661a_metr,15,Nitrate in groundwater [In percent],Percentage of monitoring sites with exceedances of nitrate level requirements (25 mg/l),Natural,True
29946686b_metr,15,Proportion of women in National Council and in cantonal parliaments [National Council],Proportion of women in total of elected members - In percent,Social,False
33707214a_metr,15,Participation in elections and federal popular votes [Elections],In percent,Social,False
29946646a_metr,15,Participation of disabled persons in the labour market [In percent],Percentage of employed persons in the severely disabled resident population aged 16 to 64 living in a private household,Human,False
29946686a_metr,14,Proportion of women in National Council and in cantonal parliaments [Cantonal parliaments],Proportion of women in total of elected members - In percent,Social,False
33188637b_metr,13,Participation in further education by sex [Men],Share of the permanent resident population aged 25 to 74 participating in non-formal continuing education activities - In percent,Human,False
33188640a_metr,13,Participation in further education by nationality [Swiss nationals],Share of the permanent resident population aged 25 to 74 participating in non-formal continuing education activities - In percent,Human,False
33188909a_metr,13,Biodiversity related expenditure [CHF millions],Direct federal biodiversity related expenditure,Natural,False
33188850a_metr,13,Hazardous chemicals [Dangerous substances],Number of substances listed in the Chemicals Ordinance (cumulative entries),Natural,False
33188850b_metr,13,Hazardous chemicals [Substances of very high concern],Number of substances listed in the Chemicals Ordinance (cumulative entries),Natural,False
33188658a_metr,13,Professional position by sex [Women],Percentage of employees working in management or as director in total employees - In percent,Social,False
33188637a_metr,13,Participation in further education by sex [Women],Share of the permanent resident population aged 25 to 74 participating in non-formal continuing education activities - In percent,Human,False
33188633a_metr,13,Participation in continuing education [In percent],Share of the permanent resident population aged 25 to 74 participating in non-formal continuing education activities,Human,False
33188640b_metr,13,Participation in further education by nationality [Foreign nationals],Share of the permanent resident population aged 25 to 74 participating in non-formal continuing education activities - In percent,Human,False
33188658b_metr,13,Professional position by sex [Men],Percentage of employees working in management or as director in total employees - In percent,Social,False
33188550a_metr,13,Language use: multilingualism [In percent],Proportion of the permanent resident population aged 15 or over that regularly uses at least two languages¹,Social,False
33188969a_metr,12,NEET rate by sex [Men],Percentage of not employed young people aged 15 to 29 who are not in education or training - In percent,Human,True
33188969b_metr,12,NEET rate by sex [Women],Percentage of not employed young people aged 15 to 29 who are not in education or training - In percent,Human,True
33188967a_metr,12,NEET: Young people neither in employment nor in training [In percent],Percentage of not employed young people aged 15 to 29 who are not in education or training,Human,True
33707230b_metr,12,Unemployment rate based on ILO definition by migration status [Without a migration background],Share of unemployed people in the labor force aged 15-74 - In percent,Human,False
33707230a_metr,12,Unemployment rate based on ILO definition by migration status [with a migration background],Share of unemployed people in the labor force aged 15-74 - In percent,Human,False
33188723b_metr,12,Jobs in innovative economic activities by sex [Men],Share of jobs in innovative economic activities in total of secondary and tertiary sector jobs in full-time equivalents - In percent,Human,False
33188720a_metr,12,Jobs in innovative economic activities [In percent],Share of jobs in innovative economic activities in total of secondary and tertiary sector jobs in full-time equivalents,Human,False
33188723a_metr,12,Jobs in innovative economic activities by sex [Women],Share of jobs in innovative economic activities in total of secondary and tertiary sector jobs in full-time equivalents - In percent,Human,False
33188932a_metr,12,Corruption perceptions index [Data],Switzerland’s ranking in the Global Corruption Perception Index,Social,False
33188795a_metr,11,Poverty rate by migration status and sex [Population without a migration background],Poverty rate of the permanent resident population aged 16 and older - In percent,Human,False
33188795b_metr,11,Poverty rate by migration status and sex [Population with a migration background],Poverty rate of the permanent resident population aged 16 and older - In percent,Human,False
33188627b_metr,11,Teaching staff at higher education institutions [Lecturers with management responsibility (UAS/UTE)],"Professors and lecturers with management responsibility, share of women - In percent",Human,False
33188627a_metr,11,Teaching staff at higher education institutions [Professors (UNI)],"Professors and lecturers with management responsibility, share of women - In percent",Human,False
33188792a_metr,11,Poverty rate by migration status [M: Population without a migration background],Poverty rate of the permanent resident population aged 16 and older - In percent,Human,False
33188792d_metr,11,Poverty rate by migration status [W: Population with a migration background],Poverty rate of the permanent resident population aged 16 and older - In percent,Human,False
33188792b_metr,11,Poverty rate by migration status [W: Population without a migration background],Poverty rate of the permanent resident population aged 16 and older - In percent,Human,False
33188792c_metr,11,Poverty rate by migration status [M: Population with a migration background],Poverty rate of the permanent resident population aged 16 and older - In percent,Human,False
30046148a_metr,9,Reading skills of 15-year-olds [In percent],Share of 15-year-olds reaching at least reading skills level 2 (scale <1 to 6),Human,False
33188532a_metr,9,Life satisfaction [High degree of satisfaction],Proportion of the population aged 16 and over with a high or very high degree of satisfaction with their current life - In percent,Human,False
33188532b_metr,9,Life satisfaction [Very high degree of satisfaction],Proportion of the population aged 16 and over with a high or very high degree of satisfaction with their current life - In percent,Human,False
28325222a_metr,9,Number of researchers [Data],In full-time equivalents per Thousand employed persons,Economic,False
19804061e_metr,8,"Time spent on professional activity and on domestic work and childcare [Women, domestic work and childcare]",Permanent resident population between 15 and 64 years - Hours per week,Social,False
19804061c_metr,8,"Time spent on professional activity and on domestic work and childcare [Men, domestic work and childcare]",Permanent resident population between 15 and 64 years - Hours per week,Social,False
19804061b_metr,8,"Time spent on professional activity and on domestic work and childcare [Men, paid work]",Permanent resident population between 15 and 64 years - Hours per week,Social,False
19804061a_metr,8,Time spent on professional activity and on domestic work and childcare [total],Permanent resident population between 15 and 64 years - Hours per week,Social,False
33188767a_metr,8,Expenditure on research and development [In percent],In relation to gross domestic product,Economic,True
33188596a_metr,8,Plant genetic resources for food and agriculture [Data],Number of plant genetic resources recorded in the National Gene Bank,Natural,False
19804061d_metr,8,"Time spent on professional activity and on domestic work and childcare [Women, paid work]",Permanent resident population between 15 and 64 years - Hours per week,Social,False
20225538a_metr,7,Voluntary work by sex [Women],Share of the permanent resident population aged 15 and over that carries out voluntary work - In percent,Social,False
20225538b_metr,7,Voluntary work by sex [Men],Share of the permanent resident population aged 15 and over that carries out voluntary work - In percent,Social,False
28325322a_metr,7,Smoking rate [In percent],Percentage of the population aged 15 and over living in a private household that state that say they smoke,Human,False
28325348a_metr,7,Overweight by sex [Women],Share of the population aged 15 and over who are overweight (BMI of 25 or more) - In percent,Human,False
19804335a_metr,7,Voluntary work [In percent],Share of the permanent resident population aged 15 and over that carries out voluntary work,Social,False
28325338b_metr,7,Smoking rate by sex [Men],Percentage of the population aged 15 and over living in a private household that state that say they smoke - In percent,Human,False
28325348b_metr,7,Overweight by sex [Men],Share of the population aged 15 and over who are overweight (BMI of 25 or more) - In percent,Human,False
28325345a_metr,7,Overweight [In percent],Share of population aged 15 and over who are overweight (BMI of 25 or more),Human,False
28325338a_metr,7,Smoking rate by sex [Women],Percentage of the population aged 15 and over living in a private household that state that say they smoke - In percent,Human,False
28325292a_metr,6,Measles immunisation coverage [In percent],Percentage of 2-year-old children inoculated with two doses of measles vaccine,Human,False
28325324a_metr,6,Heavy alcohol consumption [In percent],Percentage of the population aged 15 and over living in a private household with chronic heavy alcohol consumption¹,Human,False
28325325a_metr,6,Heavy alcohol consumption by sex [Women],Percentage of the population aged 15 and over living in a private household with chronic heavy alcohol consumption¹ - In percent,Human,False
28325325b_metr,6,Heavy alcohol consumption by sex [Men],Percentage of the population aged 15 and over living in a private household with chronic heavy alcohol consumption¹ - In percent,Human,False
33188963d_metr,6,Housing costs [4th],"Proportion of housing costs (incl. utilities) in gross household income, by income category (quintiles) - In percent",Social,True
33188963e_metr,6,Housing costs [5th],"Proportion of housing costs (incl. utilities) in gross household income, by income category (quintiles) - In percent",Social,True
33188963a_metr,6,Housing costs [1st],"Proportion of housing costs (incl. utilities) in gross household income, by income category (quintiles) - In percent",Social,True
33188963b_metr,6,Housing costs [2nd],"Proportion of housing costs (incl. utilities) in gross household income, by income category (quintiles) - In percent",Social,True
33188963c_metr,6,Housing costs [3rd],"Proportion of housing costs (incl. utilities) in gross household income, by income category (quintiles) - In percent",Social,True
30325545a_metr,4,Traffic noise pollution [In percent],Percentage of the population that feels disturbed at home during the day by traffic noise,Human,False
28325289a_metr,4,Victims of discrimination [In percent],Percentage of interviewed persons who had been victims of discrimination (self-assessment),Social,False
28325291a_metr,4,Victims of discrimination by sex [Women],Percentage of interviewed persons who had been victims of discrimination (self-assessment) - In percent,Social,False
30325542b_metr,4,Assessment of dangers associated with climate change by sex [Men],Share of the population that considers that global warming due to climate change is very dangerous or rather dangerous - In percent,Natural,False
28325291b_metr,4,Victims of discrimination by sex [Men],Percentage of interviewed persons who had been victims of discrimination (self-assessment) - In percent,Social,False
30325544b_metr,4,Environmental behaviour in everyday life [Consumption of food from organic production],Share of the population that claims to always or often adopt environmentally friendly behaviour - In percent,Natural,False
29946665a_metr,4,Digital skills [In percent],Share of total population aged 15 to 88 years whose digital skills exceed basic skills,Human,False
30325542a_metr,4,Assessment of dangers associated with climate change by sex [Women],Share of the population that considers that global warming due to climate change is very dangerous or rather dangerous - In percent,Natural,False
30325544a_metr,4,Environmental behaviour in everyday life [Consideration of energy consumption when buying small electrical devices],Share of the population that claims to always or often adopt environmentally friendly behaviour - In percent,Natural,False
33188523a_metr,4,Arable land [Thousand hectares],,Natural,False
30325547a_metr,4,Assessment of dangers associated with climate change [In percent],Share of the population that considers that global warming due to climate change is very dangerous or rather dangerous,Natural,False
33188968a_metr,4,Average distance to nearest public transport stop [Meters],Distance calculated on the basis of the road network,Economic,False
33188895a_metr,4,Summer pastures [Km²],Total summer pastures area,Natural,False
33188879a_metr,4,Soil sealing [In percent],Soil sealing as a percentage of total land area,Natural,True
33188822a_metr,4,Recreational areas in urban spaces [In percent],Share of recreational areas¹ in settlement areas of urban spaces,Natural,False
33707244a_metr,4,Independent use of public transport by people with disabilities [In percent],Percentage of people with severe disabilities aged 15 to 64¹ who can use public transport unaided and without difficulty,Human,False
28325320a_metr,3,Fruit and vegetable consumption by sex [Women],Percentage of the population that eats at least 5 portions of fruit and vegetables per day (on at least 5 days per week) - In percent,Human,True
28325312a_metr,3,Fruit and vegetable consumption [In percent],Percentage of the population that eats at least 5 portions of fruit and vegetables per day (on at least 5 days per week),Human,True
33188508b_metr,3,1st certification rate at upper secondary level [Foreigners born abroad],Proportion of young people who obtained their first certification before the age of 25 - in % of the reference population of the same age,Human,True
28325320b_metr,3,Fruit and vegetable consumption by sex [Men],Percentage of the population that eats at least 5 portions of fruit and vegetables per day (on at least 5 days per week) - In percent,Human,True
33188508a_metr,3,1st certification rate at upper secondary level [Swiss born in Switzerland],Proportion of young people who obtained their first certification before the age of 25 - in % of the reference population of the same age,Human,True
28325349a_metr,3,Building zones [Inhabitants and jobs (FTE) per hectare],"Density of built residential zones, mixed zones and core zones",Social,False
19804339a_metr,2,Participation in cultural activities [Visiting museums and exhibitions],Share of the population aged 15 and over who participated in following activities - In percent,Social,False
19804339b_metr,2,Participation in cultural activities [Going to festivals (all types)],Share of the population aged 15 and over who participated in following activities - In percent,Social,False
28325350a_metr,2,Urban sprawl [Urban penetration units (UPU) per m² of landscape],Weighted urban sprawl,Natural,False
05626316a_metr,1,Structure of watercourses [In percent],Share of the total length of watercourses in a poor ecomorphological condition¹,Natural,False
33188873b_metr,1,Greenhouse gas emissions [Target according to Paris Agreement for 2030*],CO2 equivalents without the carbon sink effect from the forest - Millions tonnes,Natural,True
